// ===============================================================================================================================================================================================================================================================================================================
// 2023-11-22, 12:19:48, 0
//           Index             Phase      Displacement              Time             Pos X             Pos Y             Pos Z           Piezo X           Piezo Y           Piezo Z           Force A           Force B           Gripper         Voltage A         Voltage B       Temperature      Indent Depth
//             [#]               [#]              [um]               [s]              [um]              [um]              [um]              [um]              [um]              [um]              [uN]              [uN]               [V]               [V]               [V]              [°C]              [um]
// ===============================================================================================================================================================================================================================================================================================================
           0.00000           2.00000           3.87741       14552.03567        -857.86964        -422.19579      -27142.80115          -0.00001          -0.00033           3.87816           0.43759               NaN           0.00000          -0.00144          -0.00453          22.76723          26.04516
           0.00000           2.00000           4.00842       14552.04067        -857.86900        -422.19500      -27142.80200          -0.00002          -0.00058           4.00916           0.43660               NaN           0.00000          -0.00139          -0.00454          22.76752          26.17616
           0.00000           2.00000           4.14153       14552.04567        -857.86864        -422.19528      -27142.80185          -0.00006          -0.00043           4.14230           0.46873               NaN           0.00000          -0.00140          -0.00456          22.76746          26.30928
           0.00000           2.00000           4.27307       14552.05067        -857.86800        -422.19600      -27142.80100          -0.00036          -0.00016           4.27383           0.47050               NaN           0.00000          -0.00142          -0.00454          22.76739          26.44081
           0.00000           2.00000           4.40349       14552.05567        -857.86800        -422.19600      -27142.80115          -0.00008          -0.00028           4.40426           0.48283               NaN           0.00000          -0.00142          -0.00457          22.76742          26.57124
           0.00000           2.00000           4.53566       14552.06067        -857.86800        -422.19600      -27142.80200           0.00010          -0.00020           4.53645           0.50689               NaN           0.00000          -0.00139          -0.00456          22.76747          26.70341
           0.00000           2.00000           4.66756       14552.06567        -857.86800        -422.19600      -27142.80185           0.00016          -0.00020           4.66837           0.53167               NaN           0.00000          -0.00144          -0.00451          22.76740          26.83531
           0.00000           2.00000           4.79719       14552.07067        -857.86800        -422.19600      -27142.80100          -0.00001          -0.00075           4.79799           0.52584               NaN           0.00000          -0.00143          -0.00456          22.76743          26.96494
           0.00000           2.00000           4.92840       14552.07567        -857.86836        -422.19579      -27142.80121          -0.00008          -0.00059           4.92922           0.54842               NaN           0.00000          -0.00141          -0.00454          22.76746          27.09615
           0.00000           2.00000           5.06034       14552.08067        -857.86900        -422.19500      -27142.80200          -0.00010           0.00000           5.06116           0.56085               NaN           0.00000          -0.00140          -0.00451          22.76747          27.22808
           0.00000           2.00000           5.18968       14552.08567        -857.86900        -422.19500      -27142.80179          -0.00020          -0.00016           5.19052           0.57339               NaN           0.00000          -0.00143          -0.00459          22.76736          27.35743
           0.00000           2.00000           5.31981       14552.09067        -857.86900        -422.19500      -27142.80100          -0.00009          -0.00012           5.32065           0.57531               NaN           0.00000          -0.00142          -0.00455          22.76736          27.48756
           0.00000           2.00000           5.45114       14552.09567        -857.86885        -422.19528      -27142.80100           0.00004           0.00018           5.45199           0.60597               NaN           0.00000          -0.00143          -0.00454          22.76740          27.61888
           0.00000           2.00000           5.58088       14552.10067        -857.86800        -422.19600      -27142.80100           0.00015          -0.00007           5.58175           0.62802               NaN           0.00000          -0.00145          -0.00454          22.76732          27.74863
           0.00000           2.00000           5.70977       14552.10567        -857.86800        -422.19600      -27142.80100          -0.00005          -0.00049           5.71063           0.61660               NaN           0.00000          -0.00142          -0.00457          22.76752          27.87752
           0.00000           2.00000           5.84068       14552.11067        -857.86800        -422.19600      -27142.80100          -0.00003          -0.00040           5.84156           0.64609               NaN           0.00000          -0.00141          -0.00456          22.76740          28.00842
           0.00000           2.00000           5.97104       14552.11567        -857.86821        -422.19585      -27142.80100           0.00000          -0.00016           5.97193           0.66132               NaN           0.00000          -0.00142          -0.00458          22.76738          28.13879
           0.00000           2.00000           6.09950       14552.12067        -857.86900        -422.19500      -27142.80100          -0.00001          -0.00029           6.10040           0.66557               NaN           0.00000          -0.00136          -0.00456          22.76737          28.26725
           0.00000           2.00000           6.22940       14552.12567        -857.86900        -422.19521      -27142.80121          -0.00003          -0.00026           6.23030           0.68660               NaN           0.00000          -0.00141          -0.00458          22.76742          28.39714
           0.00000           2.00000           6.35987       14552.13067        -857.86900        -422.19600      -27142.80200           0.00006          -0.00016           6.36080           0.71671               NaN           0.00000          -0.00139          -0.00456          22.76735          28.52762
           0.00000           2.00000           6.48814       14552.13567        -857.86900        -422.19600      -27142.80185          -0.00007          -0.00031           6.48907           0.71209               NaN           0.00000          -0.00146          -0.00453          22.76747          28.65589
           0.00000           2.00000           6.61727       14552.14067        -857.86900        -422.19600      -27142.80100           0.00011          -0.00033           6.61820           0.73566               NaN           0.00000          -0.00141          -0.00455          22.76751          28.78501
           0.00000           2.00000           6.74785       14552.14567        -857.86864        -422.19600      -27142.80100           0.00016          -0.00011           6.74879           0.75075               NaN           0.00000          -0.00145          -0.00457          22.76732          28.91559
           0.00000           2.00000           6.87617       14552.15067        -857.86800        -422.19600      -27142.80100          -0.00027          -0.00035           6.87712           0.75878               NaN           0.00000          -0.00138          -0.00455          22.76743          29.04392
           0.00000           2.00000           7.00442       14552.15567        -857.86821        -422.19572      -27142.80115          -0.00023          -0.00034           7.00538           0.77408               NaN           0.00000          -0.00141          -0.00454          22.76743          29.17216
           0.00000           2.00000           7.13457       14552.16067        -857.86900        -422.19500      -27142.80200           0.00011          -0.00006           7.13554           0.79621               NaN           0.00000          -0.00138          -0.00454          22.76752          29.30231
           0.00000           2.00000           7.26325       14552.16567        -857.86885        -422.19472      -27142.80179          -0.00026          -0.00041           7.26424           0.80748               NaN           0.00000          -0.00139          -0.00458          22.76745          29.43100
           0.00000           2.00000           7.39106       14552.17067        -857.86800        -422.19400      -27142.80100          -0.00010          -0.00014           7.39205           0.81230               NaN           0.00000          -0.00139          -0.00454          22.76734          29.55881
           0.00000           2.00000           7.52033       14552.17567        -857.86821        -422.19428      -27142.80121           0.00009           0.00001           7.52134           0.83764               NaN           0.00000          -0.00139          -0.00452          22.76748          29.68808
           0.00000           2.00000           7.64997       14552.18067        -857.86900        -422.19500      -27142.80200          -0.00021           0.00008           7.65098           0.84668               NaN           0.00000          -0.00133          -0.00456          22.76730          29.81772
           0.00000           2.00000           7.77786       14552.18567        -857.86936        -422.19521      -27142.80200          -0.00012          -0.00034           7.77887           0.85608               NaN           0.00000          -0.00136          -0.00455          22.76741          29.94561
           0.00000           2.00000           7.90672       14552.19067        -857.87000        -422.19600      -27142.80200           0.00009          -0.00044           7.90775           0.87540               NaN           0.00000          -0.00136          -0.00454          22.76739          30.07447
           0.00000           2.00000           8.03716       14552.19567        -857.86964        -422.19579      -27142.80185           0.00011          -0.00009           8.03820           0.89238               NaN           0.00000          -0.00138          -0.00458          22.76736          30.20491
           0.00000           2.00000           8.16597       14552.20067        -857.86900        -422.19500      -27142.80100           0.00015          -0.00042           8.16701           0.90466               NaN           0.00000          -0.00140          -0.00457          22.76744          30.33371
           0.00000           2.00000           8.29469       14552.20567        -857.86900        -422.19479      -27142.80121           0.00015          -0.00005           8.29574           0.91618               NaN           0.00000          -0.00142          -0.00457          22.76730          30.46243
           0.00000           2.00000           8.42584       14552.21067        -857.86900        -422.19400      -27142.80200           0.00011           0.00014           8.42691           0.93764               NaN           0.00000          -0.00142          -0.00455          22.76739          30.59359
           0.00000           2.00000           8.55568       14552.21567        -857.86872        -422.19442      -27142.80200           0.00010          -0.00029           8.55676           0.95188               NaN           0.00000          -0.00140          -0.00456          22.76750          30.72343
           0.00000           2.00000           8.68479       14552.22067        -857.86800        -422.19600      -27142.80200           0.00028          -0.00016           8.68587           0.95622               NaN           0.00000          -0.00140          -0.00455          22.76758          30.85253
           0.00000           2.00000           8.81579       14552.22567        -857.86800        -422.19600      -27142.80200           0.00015          -0.00038           8.81688           0.97651               NaN           0.00000          -0.00140          -0.00460          22.76737          30.98353
           0.00000           2.00000           8.94678       14552.23067        -857.86800        -422.19600      -27142.80200           0.00014          -0.00046           8.94788           0.99013               NaN           0.00000          -0.00143          -0.00454          22.76749          31.11452
           0.00000           2.00000           9.07624       14552.23567        -857.86815        -422.19600      -27142.80200           0.00004          -0.00045           9.07735           0.99995               NaN           0.00000          -0.00143          -0.00455          22.76740          31.24399
           0.00000           2.00000           9.20681       14552.24067        -857.86900        -422.19600      -27142.80200           0.00017           0.00003           9.20793           1.01875               NaN           0.00000          -0.00142          -0.00458          22.76754          31.37456
           0.00000           2.00000           9.33831       14552.24567        -857.86900        -422.19572      -27142.80200           0.00003           0.00013           9.33944           1.03863               NaN           0.00000          -0.00144          -0.00459          22.76735          31.50605
           0.00000           2.00000           9.46801       14552.25067        -857.86900        -422.19500      -27142.80200           0.00008          -0.00043           9.46914           1.04391               NaN           0.00000          -0.00143          -0.00457          22.76737          31.63575
           0.00000           2.00000           9.59816       14552.25567        -857.86864        -422.19500      -27142.80179           0.00035          -0.00049           9.59931           1.05828               NaN           0.00000          -0.00141          -0.00462          22.76735          31.76591
           0.00000           2.00000           9.72958       14552.26067        -857.86800        -422.19500      -27142.80100           0.00016          -0.00012           9.73075           1.08548               NaN           0.00000          -0.00142          -0.00457          22.76747          31.89733
           0.00000           2.00000           9.85994       14552.26567        -857.86764        -422.19500      -27142.80121           0.00006          -0.00039           9.86111           1.10103               NaN           0.00000          -0.00143          -0.00461          22.76748          32.02769
           0.00000           2.00000           9.98916       14552.27067        -857.86700        -422.19500      -27142.80200           0.00013          -0.00036           9.99033           1.10282               NaN           0.00000          -0.00145          -0.00458          22.76740          32.15691
           0.00000           2.00000          10.11985       14552.27567        -857.86773        -422.19528      -27142.80200          -0.00020          -0.00005          10.12104           1.12166               NaN           0.00000          -0.00147          -0.00458          22.76734          32.28760
           0.00000           2.00000          10.25063       14552.28067        -857.86900        -422.19600      -27142.80200          -0.00021          -0.00001          10.25183           1.13425               NaN           0.00000          -0.00146          -0.00463          22.76736          32.41838
           0.00000           2.00000          10.37914       14552.28567        -857.86879        -422.19572      -27142.80185           0.00021          -0.00033          10.38035           1.14769               NaN           0.00000          -0.00150          -0.00465          22.76745          32.54689
           0.00000           2.00000          10.50886       14552.29067        -857.86800        -422.19500      -27142.80100           0.00006          -0.00038          10.51008           1.16946               NaN           0.00000          -0.00143          -0.00459          22.76747          32.67661
           0.00000           2.00000          10.63952       14552.29567        -857.86829        -422.19528      -27142.80100           0.00012          -0.00002          10.64074           1.17936               NaN           0.00000          -0.00143          -0.00460          22.76751          32.80727
           0.00000           2.00000          10.76822       14552.30067        -857.86999        -422.19600      -27142.80100           0.00006          -0.00030          10.76944           1.18075               NaN           0.00000          -0.00147          -0.00460          22.76748          32.93597
           0.00000           2.00000          10.89701       14552.30567        -857.86972        -422.19600      -27142.80100          -0.00015          -0.00034          10.89825           1.20744               NaN           0.00000          -0.00141          -0.00459          22.76754          33.06476
           0.00000           2.00000          11.02754       14552.31067        -857.86900        -422.19600      -27142.80100          -0.00004           0.00028          11.02880           1.22712               NaN           0.00000          -0.00142          -0.00457          22.76752          33.19529
           0.00000           2.00000          11.15631       14552.31567        -857.86900        -422.19600      -27142.80100          -0.00010           0.00004          11.15756           1.22943               NaN           0.00000          -0.00145          -0.00459          22.76747          33.32406
           0.00000           2.00000          11.28399       14552.32067        -857.86900        -422.19600      -27142.80100           0.00015          -0.00046          11.28525           1.23442               NaN           0.00000          -0.00141          -0.00457          22.76744          33.45174
           0.00000           2.00000          11.41392       14552.32567        -857.86900        -422.19579      -27142.80115           0.00008          -0.00018          11.41520           1.26868               NaN           0.00000          -0.00146          -0.00456          22.76752          33.58167
           0.00000           2.00000          11.54298       14552.33067        -857.86900        -422.19500      -27142.80200          -0.00009           0.00008          11.54427           1.28039               NaN           0.00000          -0.00142          -0.00458          22.76748          33.71073
