Frequency,Mean Storage Modulus [Pa],Storage Modulus stdev [Pa],Mean Loss Modulus [Pa],Loss Modulus stdev [Pa],Tan Delta,Tan Delta Error
1.3673996251720033,106999.86829663411,7129.314541278636,2277.8877773689305,277.29168043684786,0.02122878779888364,0.0013904259966292282
1.525315909111425,107175.54523742279,7145.728563099722,2169.58755284341,255.9021951424711,0.020189789997109315,0.0012452162488789994
1.701469402038014,107339.76429325025,7160.064399774828,2054.0596995371316,235.15990527023456,0.019088484870487664,0.0011104048309107711
1.8979662565494921,107490.64654163129,7172.416499167895,1933.0292978454693,215.3615853805772,0.017941076766299843,0.0009879772983069862
2.117155857569757,107626.99472276663,7182.94316976361,1808.644773162764,196.7275825698642,0.016767430712932387,0.000878898933447944
2.361658912414415,107748.33333243283,7191.843695273538,1683.2026095623587,179.39010885435485,0.01558854183048154,0.0007830995736104384
2.634398784881462,107854.8486105257,7199.335652948289,1558.90807998724,163.40163384137702,0.014424377256982923,0.0006996986281215819
2.93863644800842,107947.2628508517,7205.63641284219,1437.700239299715,148.75336379661718,0.013292329756639545,0.0006273371647481055
3.2780094734032845,108026.6796530802,7210.950205709204,1321.1490614207205,135.39509385865549,0.012206336760419996,0.0005644918070224707
3.656575523319345,108094.42994871577,7215.460347997508,1210.4172754649865,123.25149865356461,0.01117658392195955,0.0005096969630057431
4.078860865480238,108151.93800348911,7219.325396857333,1106.271381452906,112.23350018490335,0.010209644993664172,0.0004616600868504243
4.549914490715472,108200.61637826782,7222.677929512007,1009.1246028266162,102.24548653410038,0.009308899312273487,0.00041929294697370923
5.075368480455694,108241.79131252342,7225.6249471291,919.0967993699235,93.18987389099682,0.008475092011838256,0.0003816945511114
