Frequency,Storage Modulus [Pa],Loss Modulus [Pa],Tan Delta
69.9216747248491,95565.88376483822,62.746120555853224,0.0006565744812265269
77.99668866817983,95566.15593706294,56.264946148172285,0.0005887538909195712
87.00425822379502,95566.37519322976,50.45064522852145,0.000527912093835443
97.05208103483265,95566.551740559,45.235306622955704,0.0004733382736855365
108.2602923751572,95566.69384547921,40.55774333111001,0.00042439203135652474
120.76290152859298,95566.80819287554,36.362878256723384,0.000380496941818281
134.70939405065934,95566.90018223748,32.60117222427489,0.0003411345576984017
150.26651907000772,95566.97417059813,29.228095215032422,0.0003058388681727736
167.62028299916113,95567.03367103622,26.20364043578968,0.00027419120829875977
186.97817349205354,95567.08151434857,23.49187988770925,0.0002458156042379734
208.57164023878562,95567.11998038502,21.060559466970616,0.0002203745333258265
232.6588622588413,95567.15090451491,18.88073123721652,0.00019756507396648286
