Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Indent Depth [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
0.0,2.0,47.15975,14553.75067,-857.869,-422.196,-27142.801,0.00044,-5e-05,47.31915,246.97553,,0.0,-0.00147,-0.00457,22.76747,69.3275,14553.76567,252.4903,252.1522742404951,0.0027645070102327524,47.69662,1.9400000000005093,0.00021260803,92050.2670090919,92050.2670090919,92228.69320823837,2.0779786291240925e+17,0.178437360238526
0.0,2.0,47.28305,14553.75567,-857.86872,-422.196,-27142.801,0.00015,-0.00061,47.44322,248.1714,,0.0,-0.00146,-0.00461,22.76757,69.45079,14553.77067,253.82299,253.96535747842194,0.0027645070102327524,47.82131,1.945000000001528,0.00021305136,92242.2101114909,92242.2101114909,92222.40939259213,2.083334244148698e+17,0.18478798361432047
0.0,2.0,47.40772,14553.76067,-857.868,-422.196,-27142.801,8e-05,-0.0003,47.56917,250.16165,,0.0,-0.00145,-0.00466,22.76729,69.57546,14553.77567,255.47191,255.781205223359,0.0027645070102327524,47.94653,1.9500000000007276,0.00021341288,92398.73295086403,92398.73295086403,92216.14465789992,2.088689859171355e+17,0.1899666932951841
0.0,2.0,47.53367,14553.76567,-857.86836,-422.19579,-27142.80115,-2e-05,-9e-05,47.69662,252.4903,,0.0,-0.00147,-0.00462,22.76745,69.70142,14553.78067,257.93251,257.5998174753063,0.0027645070102327524,48.07413,1.9549999999999272,0.00021267416,92078.89849661055,92078.89849661055,92209.89889808957,2.0940454741940118e+17,0.17938466072313414
0.0,2.0,47.65751,14553.77067,-857.869,-422.195,-27142.802,-0.00023,-0.00029,47.82131,253.82299,,0.0,-0.00146,-0.00459,22.76762,69.82525,14553.78567,259.5532,259.4211942342638,0.0027645070102327524,48.19944,1.9600000000009459,0.00021279200999999997,92129.9225523201,92129.9225523201,92203.67200775129,2.0994010892186173e+17,0.18107284100607723
0.0,2.0,47.78167,14553.77567,-857.869,-422.195,-27142.80179,-0.00015,-0.00026,47.94653,255.47191,,0.0,-0.00144,-0.00457,22.76765,69.94941,14553.79067,260.93209,261.2453355002316,0.0027645070102327524,48.32429,1.9650000000001455,0.00021340080999999997,92393.5071523709,92393.5071523709,92197.46388214032,2.1047567042412742e+17,0.1897937926925947
0.0,2.0,47.90768,14553.78067,-857.869,-422.195,-27142.801,0.00012,0.00027,48.07413,257.93251,,0.0,-0.0014,-0.00458,22.76755,70.07543,14553.79567,263.33321,263.07224127320956,0.0027645070102327524,48.45123,1.9700000000011642,0.00021288376,92169.64641410504,92169.64641410504,92191.27441715675,2.1101123192658797e+17,0.18238714343255272
0.0,2.0,48.03194,14553.78567,-857.869,-422.19521,-27142.801,9e-05,-0.00016,48.19944,259.5532,,0.0,-0.00145,-0.00459,22.76763,70.19969,14553.80067,265.34721,264.9019115531978,0.0027645070102327524,48.57766,1.9750000000003638,0.00021258011999999998,92038.18316187208,92038.18316187208,92185.1035093595,2.1154679342885366e+17,0.17803755445407982
0.0,2.0,48.15591,14553.79067,-857.869,-422.196,-27142.801,2e-05,-0.00061,48.32429,260.93209,,0.0,-0.00146,-0.0046,22.7676,70.32366,14553.80567,266.60083,266.7343463401962,0.0027645070102327524,48.70217,1.9800000000013824,0.00021322344999999998,92316.71778859789,92316.71778859789,92178.95105594407,2.120823549313142e+17,0.18725314224725853
0.0,2.0,48.28131,14553.79567,-857.869,-422.196,-27142.801,7e-05,0.00023,48.45123,263.33321,,0.0,-0.00151,-0.00462,22.76751,70.44905,14553.81067,268.69816,268.5695456342049,0.0027645070102327524,48.82827,1.985000000000582,0.00021307634,92253.02539287932,92253.02539287932,92172.81695475645,2.126179164335799e+17,0.18514581767005192
0.0,2.0,48.40643,14553.80067,-857.869,-422.196,-27142.801,0.00017,0.00037,48.57766,265.34721,,0.0,-0.00152,-0.0046,22.7676,70.57418,14553.81567,271.03014,270.40750943522386,0.0027645070102327524,48.95537,1.9899999999997817,0.00021248106,91995.29437987303,91995.29437987303,92166.7011042732,2.131534779358456e+17,0.17661853757814958
0.0,2.0,48.53014,14553.80567,-857.869,-422.196,-27142.80085,-0.00028,-0.00051,48.70217,266.60083,,0.0,-0.0015,-0.00461,22.76763,70.69789,14553.82067,272.4191,272.248237743253,0.0027645070102327524,49.08009,1.9950000000008004,0.00021298723999999998,92214.44886879172,92214.44886879172,92160.60340360436,2.1368903943830614e+17,0.1838694760221069
